Flag,"Vessel Name","Destination Port","Reported Eta","Reported Destination","Current Port",Imo,"Vessel Type - Generic","Time Of Latest Position",Latitude,Longitude
Indonesia,"LUMOSO KARUNIA II",AMAMAPARE,"2022-09-04 14:00:00",AMAMAPARE,"AMAMAPARE ANCH",9443803,Cargo,"2022-09-08 13:48:14",-4.93769,136.6437
Indonesia,"PACIFIC ASSEGAI","RAS LAFFAN","2022-09-02 10:01:00","RAS LAFFAN ANCHORAGE","RAS LAFFAN",9358149,"Special Craft","2022-09-08 13:51:38",25.9255,51.60092
Indonesia,"ANDHIKA KANISHKA","MUARA PANTAI","2022-09-02 02:00:00","MUARA PANTAI","MUARA PANTAI",9164641,Cargo,"2022-09-08 13:45:47",2.001667,118.155
Indonesia,OMARRASHEED,JAKARTA,"2022-09-08 16:00:00",TG.PRIOK,JAKARTA,8512217,Cargo,"2022-09-08 13:52:17",-6.098502,106.9124
Indonesia,"CTP DELTA",JAKARTA,"2022-09-08 16:30:00","ID JKT",JAKARTA,8912730,Cargo,"2022-09-08 13:50:53",-6.104245,106.8909
Indonesia,"LUMOSO AMAN",WEDA,-,WEDA,,9263277,Cargo,"2022-09-08 13:14:19",0.4593667,128.0107
Indonesia,"DANUM MAS",TARJUN,"2022-09-06 04:16:00",TARJUN,TARJUN,9371933,Cargo,"2022-09-08 13:41:12",-3.281667,116.105
Indonesia,"SC WARRIOR L",KOTABARU,"2022-08-06 13:30:00",KOTABARU,"PEMANCINGAN ANCH",9162007,Tanker,"2022-09-06 21:52:20",-3.2261,116.3721
Indonesia,"TRANSKO BIMA",CILACAP,"2022-08-07 03:00:00",CILACAP,"CILACAP ANCH",9418951,Tanker,"2022-09-08 13:53:51",-7.743333,109.0467
Indonesia,"MERATUS AMURANG",MAKASSAR,"2022-09-08 21:00:00","ID MAK",,9262962,Cargo,"2022-09-08 13:53:48",-5.373333,118.35
Indonesia,"RASUNA BARUNA",PAITON,"2022-07-09 16:00:00",ID-PAI,,9397834,Cargo,"2022-09-08 13:41:39",-5.154955,115.6618
Indonesia,"PACIFIC HARRIER",,-,JKK12,,9579107,"Special Craft","2022-09-08 13:52:31",-1.309808,117.6837
Indonesia,"GANDAWATI 1",JAKARTA,"2022-09-07 10:30:00",JAKARTA,"JAKARTA ANCH",9214044,Tanker,"2022-09-08 13:54:04",-6.03715,106.9061
Indonesia,SAKTI,TELUKBAYUR,"2022-09-07 15:00:00","TELUK BAYUR",TELUKBAYUR,8717685,Cargo,"2022-09-08 12:48:01",-0.9973233,100.3785
Indonesia,"DHARMA RUCITRA I",BANJARMASIN,-,BANJARMASIN,SEMARANG,8921767,Passenger,"2022-09-06 11:18:13",-6.945265,110.4179
Indonesia,RESOLUTION,,"2022-09-04 22:00:00","ERAWAN FIELD",,9688738,"Special Craft","2022-09-08 13:52:20",8.975,101.3917
Indonesia,"DEWI SHINTA MANGGALA",POHANG,"2022-09-07 07:30:00","KR KPO",POHANG,9528873,Cargo,"2022-09-08 13:53:54",36.01445,129.4183
Indonesia,"TRANSKO ARIES",AMPENAN,"2022-08-09 03:00:00",AMPEMAN,,9216054,Tanker,"2022-09-08 13:53:01",-8.321076,115.9627
Indonesia,GAMSUNORO,MANGALORE,"2022-09-03 02:00:00","NEW MANGALORE, INDIA",MANGALORE,9677313,Tanker,"2022-09-08 13:27:06",12.92083,74.81174
Indonesia,"ALIYAH PERTIWI","BATU AMPAR","2022-07-17 10:00:00",BATAM,"BATU AMPAR",9239991,Cargo,"2022-08-30 10:20:12",1.080983,103.8953
Indonesia,"RATU RUWAIDAH",SURABAYA,"2022-08-25 06:00:00",SURABAYA,"SURABAYA ANCH",9302114,Tanker,"2022-09-06 01:01:59",-6.865829,112.8148
Indonesia,OCEANIA,CHITTAGONG,"2021-08-19 02:00:00",CHITTAGONG,"CHITTAGONG BREAKYARD",9233313,Tanker,"2021-08-23 09:16:34",22.46257,91.71947
Indonesia,"M PATRICIA",TUBAN,"2022-09-07 13:54:00",TUBAN,,9156034,Tanker,"2022-09-08 12:12:50",-6.76342,111.9555
Indonesia,AMMAR,GRESIK,"2022-09-08 23:30:00",GRESIK,GRESIK,9237125,Cargo,"2022-09-08 13:53:48",-7.133333,112.655
Indonesia,"PRIMA XP",,"2022-09-07 15:00:00",PWBGA,,9250153,Tanker,"2022-09-08 13:35:20",3.130987,100.6243
Indonesia,GAMKONORA,,"2022-09-07 23:50:00","OPEN SEA EOPL",,9641091,Tanker,"2022-09-08 13:50:00",1.525,104.805
Indonesia,"CC SEJATI",SURABAYA,"2022-09-09 05:00:00",SURABAYA,"SURABAYA ANCH",9170937,Cargo,"2022-09-08 13:08:40",-6.852283,112.7619
Indonesia,"GIAT JAYA",,"2022-09-08 10:27:00",KALIJAPAT,,9541162,"Special Craft","2022-09-08 11:15:27",-4.934337,106.5109
Indonesia,"NACC COZUMEL",BELAWAN,"2022-08-08 03:00:00",BELAWAN,BELAWAN,9444429,Cargo,"2022-09-08 13:30:37",3.784283,98.70039
Indonesia,"MCC ANDALAS",SIHANOUKVILLE,-,"KH KOS",,9499022,Cargo,"2022-09-08 06:17:04",19.71701,113.7237
Indonesia,"BUKIT RAYA",SURABAYA,"2022-09-07 12:00:00",SURABAYA.ID,,9032173,Passenger,"2022-09-08 08:49:15",-3.866265,110.2542
Indonesia,"NUSANTARA SEJATI",,"2022-03-14 11:00:00",JKT,"SURABAYA RIVER ANCH",8131128,Cargo,"2022-03-31 01:54:48",-7.174943,112.7338
Indonesia,"MERATUS MALINO",BITUNG,"2022-09-06 19:00:00",ID-BIT,BITUNG,9106625,Cargo,"2022-09-08 13:43:07",1.438333,125.1967
Indonesia,"GOLDEN ROSE",BAHUDOPI,"2022-09-05 00:00:00",BAHODOPI,BAHUDOPI,9457866,Cargo,"2022-09-08 04:16:36",-2.810123,122.1615
Indonesia,"YELLOW PARK",MAKASSAR,-,MAKASSAR,,9276250,Tanker,"2022-09-08 13:33:49",-5.598475,109.7435
Indonesia,"GRIYA CIREBON",,"2022-03-10 18:00:00",BLPP,,9279587,Tanker,"2022-09-08 13:31:32",-5.110667,110.3713
Indonesia,"MANALAGI DASA","TANJUNG JATI","2022-09-06 06:00:00","TANJUNG JATI","TANJUNG JATI",9217668,Cargo,"2022-09-07 21:35:56",-6.432617,110.7257
Indonesia,"MERATUS MEDAN 1",CJK,"2022-09-08 05:00:00","CN CJK-SHA",,9146651,Cargo,"2022-09-08 13:41:00",30.97607,122.9501
Indonesia,"DEWI SARASWATI",KHALIFA,"2022-08-29 08:00:00",KHALIFA,KHALIFA,9527881,Cargo,"2022-09-08 13:51:36",24.80169,54.65491
Indonesia,FORUM,,"2022-08-28 10:00:00",MATARAPE,,9214850,Cargo,"2022-09-08 13:51:47",-3.318333,122.3283
Indonesia,"ORIENTAL GALAXY",BALIKPAPAN,"2022-09-07 13:00:00",IDBPN,KARIANGAU,9120920,Cargo,"2022-09-08 13:51:39",-1.162932,116.7797
Indonesia,"MONICA P",,"2022-08-29 18:00:00",TG.PEMANCINGAN,"PEMANCINGAN ANCH",9179218,Cargo,"2022-09-08 06:55:25",-3.209883,116.3285
Indonesia,"ROSA DINI",JAKARTA,"2022-09-07 23:00:00","ID JKT",JAKARTA,9240718,Tanker,"2022-09-08 13:53:05",-6.099228,106.9059
Indonesia,"LOGISTIK NUSANTARA 3",,"2022-09-08 03:00:00",JAILOLO,,9474981,Cargo,"2022-09-08 13:51:36",1.015,127.49
Indonesia,"DAIDAN MUSTIKAWATI",KALIORANG,"2022-09-05 15:00:00",KALIORANG,KALIORANG,9302827,Cargo,"2022-09-08 13:53:12",0.7772833,117.9088
Indonesia,"MERATUS MAMIRI",BELAWAN,"2022-09-06 20:00:00","ID BLW",,9106649,Cargo,"2022-09-08 13:35:14",3.794482,98.71595
Indonesia,"SG BAHARI",BONTANG,-,BONTANG-IDN,,9408360,Tanker,"2022-09-08 13:30:13",-2.161667,108.8867
Indonesia,"ARFIANIE AYU",PENANG,"2022-08-30 21:00:00",TG:PETANG,,9403164,Cargo,"2022-09-08 13:46:36",-3.828333,115.9117
Indonesia,"ADHIGUNA TARAHAN",TARAHAN,"2022-09-05 23:00:00","TARAHAN PANJANG",SURALAYA,8324232,Cargo,"2022-09-08 13:52:17",-5.888587,106.0285
Indonesia,"CTP GOLDEN",JAKARTA,"2022-09-05 04:00:00","ID JKT",JAKARTA,9159098,Cargo,"2022-09-08 12:21:56",-6.104202,106.8788
Indonesia,"SAMUDRA SAKTI I",BELAWAN,"2022-09-06 20:00:00","BELAWAN ID","BELAWAN ANCH",9238258,Cargo,"2022-09-08 13:33:51",3.93565,98.75648
Indonesia,"DK 03",CILACAP,"2022-08-24 03:00:00",CILACAP,"CILACAP ANCH",9082908,Cargo,"2022-09-08 08:50:10",-7.750913,109.1014
Indonesia,MUBASYIR,KALIORANG,"2022-09-04 22:00:00",KALIORANG,KALIORANG,9493937,Cargo,"2022-09-08 13:51:55",0.7885267,117.9105
Indonesia,OSTINA,,-,PATIMBAN,,9059901,Cargo,"2022-09-08 13:33:42",-1.741152,105.0409
Indonesia,SAWAHLUNTO,SINGAPORE,"2022-09-08 10:00:00",SINGAPORE,"SINGAPORE ANCH",9692234,Cargo,"2022-09-08 13:33:05",1.252603,103.8735
Indonesia,"ORIENTAL GOLD",JAYAPURA,"2022-09-09 01:30:00","ID DJJ",,9136591,Cargo,"2022-09-08 13:53:37",-2.239415,140.0794
Indonesia,"SARTIKA BARUNA",TARAHAN,"2022-09-07 13:15:00",ID-TARAHAN,TARAHAN,9219898,Cargo,"2022-09-08 13:53:42",-5.515,105.3417
Indonesia,"EDRICKO 6",CIWANDAN,"2022-09-08 08:00:00","CIWAMDAN INA","CIWANDAN ANCH",9146833,Tanker,"2022-09-08 13:47:23",-6.009442,105.9365
Indonesia,PERKASA,TELUKBAYUR,-,"TELUK BAYUR",,8109204,Cargo,"2022-09-08 13:37:17",4.021183,96.0776
Indonesia,KEI,KETAPANG,"2022-09-07 03:00:00","TG WNGI",,9475387,Tanker,"2022-09-08 11:59:00",-8.00426,114.4502
Indonesia,"GOLDEN REJEKI",MAKASSAR,"2022-08-30 01:00:00",MAKASSAR,MAKASSAR,9480966,Cargo,"2022-09-08 13:52:53",-5.126717,119.406
Indonesia,"LUMOSO ALAM","TABONEO ANCH","2022-09-08 06:00:00",TABONEO,"TABONEO ANCH",9216688,Cargo,"2022-09-08 13:50:50",-3.688883,114.443
Indonesia,"VEGA 1",BALIKPAPAN,-,"ID BALIKPAPAN",,9478107,Tanker,"2022-09-08 13:40:57",-4.19373,115.852
Indonesia,"ORIENTAL EMERALD",JAKARTA,"2022-09-08 09:00:00",JAKARTA,"JAKARTA ANCH",9146077,Cargo,"2022-09-08 13:52:24",-6.036077,106.8994
Indonesia,"WEDA PIONEER",JAKARTA,"2022-08-03 09:00:00",TJ.PRIOK,"JAKARTA ANCH",9417476,Tanker,"2022-09-08 13:52:16",-6.043366,106.8961
Indonesia,"FAJAR BAHARI V",JAKARTA,-,MARUNDA,,9841251,Cargo,"2022-09-08 11:29:41",-4.022573,114.2252
Indonesia,"LUNA ERAWAN","TELUK SEMANGKA","2022-09-06 09:30:00","TELUK SEMANGKA","TELUK SEMANGKA ANCH",9296810,Tanker,"2022-09-08 09:21:04",-5.545162,104.6225
Indonesia,"HIJAU SAMUDRA",JAKARTA,"2022-09-07 16:00:00",IDJKT,JAKARTA,9101560,Cargo,"2022-09-08 13:52:56",-6.100214,106.8826
Indonesia,ADRIA,MERAK,"2022-09-06 07:30:00",MERAK,"SURALAYA ANCH",9268540,Tanker,"2022-09-08 13:51:58",-5.892684,106.0015
Indonesia,"DHARMA FERRY VIII","LEMBAR ANCH","2022-09-07 17:50:00",LEMBAR,"LEMBAR ANCH",9037941,Passenger,"2022-09-07 14:31:00",-8.745513,116.0493
Indonesia,"GOLDEN ACE",JAKARTA,"2022-09-08 19:00:00","ID TG. PERAK","JAKARTA ANCH",9296767,Cargo,"2022-09-08 13:51:56",-6.008817,106.9063
Indonesia,"SUCCESS DALIA XLVIII",SINGAPORE,-,SGPEBGC,,9236729,Tanker,"2022-09-08 13:30:53",-0.5588284,105.9698
Indonesia,"SATYA KENCANA III",KUMAI,"2022-09-09 04:00:00",KUMAI,,8904563,Passenger,"2022-09-08 11:53:33",-4.383117,111.9164
Indonesia,SAMI,MUARA,-,"MUARA BERAU",,9265512,Cargo,"2022-09-08 13:53:40",-5.749558,120.0717
Indonesia,"MAXIMUS I",BAYAH,-,"BAYAH IDN",,9260653,Cargo,"2022-09-08 13:09:47",-0.18734,103.9032
Indonesia,"DAIDAN PERTIWI",,"2022-09-05 12:00:00",PEMANCINGAN,"PEMANCINGAN ANCH",9302798,Cargo,"2022-09-08 13:28:03",-3.19765,116.3809
Indonesia,"PANCARAN NUSANTARA",TUBAN,"2022-09-08 22:00:00","ID TBN",,9354492,Tanker,"2022-09-08 13:48:07",-6.637816,111.9325
Indonesia,"SINAR MARATUA",BATULICIN,-,BATULICIN,,9276327,Tanker,"2022-09-08 12:16:41",-0.6591,117.8411
Indonesia,"ERAWAN 10",WAYAME,"2022-09-08 16:00:00","ID WAYAME","AMBON ANCH",9275983,Tanker,"2022-09-08 13:52:33",-3.680183,128.1428
Indonesia,TILONGKABILA,BIMA,-,BIMA,,9102760,Passenger,"2022-09-08 13:50:54",-8.155,116.385
Indonesia,"SEA BASS","PULAU SAMBU","2022-08-19 22:30:00","PULAU SAMBU","BATU AMPAR ANCH",9387190,"Special Craft","2022-09-08 13:52:39",1.159283,103.9342
Indonesia,LAWIT,JAKARTA,"2022-08-26 03:15:00","TG.PRIOK ID",JAKARTA,8502353,Passenger,"2022-09-07 08:35:19",-6.094188,106.8804
Indonesia,"ORIENTAL JADE",MAKASSAR,"2022-09-08 15:00:00",MAKASSAR,MAKASSAR,8902137,Cargo,"2022-09-08 13:53:21",-5.097035,119.4154
Indonesia,"SERASI V",BELAWAN,-,BELAWAN,,9039573,Cargo,"2022-09-08 13:49:23",0.5219266,103.7627
Indonesia,"SIMFONI SEJATI",,-,BPPN,,9197612,Cargo,"2022-09-08 06:25:18",-5.053308,113.0889
Indonesia,"MANALAGI SAMBA",,-,"ID BAHODOPI",,9254501,Cargo,"2022-09-08 13:36:49",-4.105233,112.3705
Indonesia,"NEW WINNER",KUPANG,"2022-09-06 03:48:00","ID KUPANG",KUPANG,9213193,Tanker,"2022-09-08 13:02:30",-10.20372,123.5275
Indonesia,"ETERNAL OIL II",MUNTOK,"2022-09-08 21:00:00",MUNTOK,,9159828,Tanker,"2022-09-08 13:53:15",-2.198333,104.9233
Indonesia,"CTP HONOUR",JAKARTA,-,"TG PRIOK JAKARTA",,9150925,Cargo,"2022-09-08 13:45:13",-5.495548,114.9576
Indonesia,"TANTO TENANG",MAKASSAR,"2022-09-08 07:00:00",MAKASSAR,MAKASSAR,9192040,Cargo,"2022-09-08 13:51:48",-5.12915,119.4042
Indonesia,"LUMOSO HAWARI",,"2022-09-06 12:00:00",S2LIRA,,9405473,Cargo,"2022-09-08 13:09:23",-5.64194,107.4927
Indonesia,"ARMADA SERASI",JAKARTA,"2022-09-08 20:00:00",JAKARTA,"JAKARTA ANCH",9000675,Cargo,"2022-09-08 13:53:34",-6.00757,106.9006
Indonesia,MARINER,MAKASSAR,-,"ID MAK",,9178678,Tanker,"2022-09-08 13:27:45",-6.722217,116.753
Indonesia,"EDRICKO 1",GARONGKONG,"2022-08-28 06:00:00",GARONGKONG,,8223505,Tanker,"2022-08-25 02:57:53",-4.327025,119.5007
Indonesia,VERIZON,SURABAYA,"2022-09-08 17:00:00","ID JKT",,9109988,Cargo,"2022-09-08 13:09:17",-6.151937,110.3857
Indonesia,"ALIYAH PRATAMA","ASAM ASAM",-,ASAM-ASAM,,9216810,Cargo,"2022-09-08 13:26:35",-1.658767,108.0135
Indonesia,"DARYA MAJU","BATU AMPAR","2022-08-11 09:00:00",BATAM,"BATU AMPAR",8413021,Cargo,"2022-09-08 13:49:38",1.05603,103.9086
Indonesia,"AMANAH MOROWALI AMC",,-,"ID BAHODOPI",,9233478,Cargo,"2022-09-08 13:53:19",-5.736053,122.6513
Indonesia,"NAVIGATOR GLOBAL",JAKARTA,"2022-09-07 20:00:00","TG PRIOK","JAKARTA ANCH",9536375,Tanker,"2022-09-08 13:53:15",-5.988472,106.9221
Indonesia,"PORT LINK III",BAKAUHENI,"2022-06-27 12:28:00","BAKAUHENI - MERAK",CILEGON,8604333,Passenger,"2022-09-05 04:22:21",-5.979787,106.107
Indonesia,"PERTAMINA GAS 2",BATEN,-,BANTEN.IDN,,9685217,Tanker,"2022-09-08 13:52:03",-21.87215,-11.11074
Indonesia,HIPPO,,"2022-01-19 08:24:00",IDBELAWAN,BELAWAN,9134713,Tanker,"2022-02-09 09:06:18",3.782755,98.70322
Indonesia,"PIS PATRIOT",KOTABARU,"2022-09-03 16:00:00",KOTABARU,KOTABARU,9419670,Tanker,"2022-09-08 11:45:12",-3.253122,116.2004
Indonesia,"HANYU GLORY",GRESIK,"2022-09-04 23:00:00",GRESIK,GRESIK,9253454,Tanker,"2022-09-08 13:50:17",-7.143967,112.6593
Indonesia,"ISA GOLDEN",,"2022-09-06 03:00:00","J23 SG",SINGAPORE,9116292,Cargo,"2022-09-06 08:40:30",1.302762,103.7192
Indonesia,"MERATUS KUPANG","JAKARTA ANCH",-,"MY PKG > ID JKT",,9155511,Cargo,"2022-09-08 13:37:03",2.813177,101.2457
Indonesia,"DA DE 2",LEMBAR,"2022-09-08 23:00:00",LEMBAR,,9895056,Passenger,"2022-09-08 13:53:27",-8.351825,115.7519
Indonesia,"TANKER VICTORY",BELAWAN,"2022-07-25 17:00:00",BELAWAN,"BELAWAN ANCH",9112234,Tanker,"2022-09-08 13:31:55",3.881667,98.77333
Indonesia,"LUMOSO HARMONI",BUNATI,-,"BUNATI ID",,9405461,Cargo,"2022-09-08 13:48:32",-5.363587,120.7119
Indonesia,"DK 02",CILACAP,"2022-09-01 20:00:00",CILACAP,,9154555,Cargo,"2022-09-08 13:08:36",-7.835778,108.2717
Indonesia,"GUNUNG GEULIS/PERTAMINA 8004",,"2022-03-15 09:00:00",TERMINAL:CINTA,,9398278,Tanker,"2022-09-08 12:41:33",-5.423678,106.2358
Indonesia,"DHARMA FERRY IX",LEMBAR,"2022-09-07 20:00:00",LEMBAR,,8910990,Passenger,"2022-09-08 13:20:16",-8.146658,114.4023
Indonesia,"MERATUS GORONTALO",SHANTOU,-,CNSHA,,9202895,Cargo,"2022-09-08 13:52:16",-3.358333,117.1933
Indonesia,"NOLOWATI III",HALDIA,"2022-09-08 06:30:00",INHAL,HALDIA,9266229,Tanker,"2022-09-08 13:33:27",22.0415,88.09074
Indonesia,"LUMOSO KARUNIA VIII",AMAMAPARE,"2022-08-14 08:00:00",AMAMAPARE,"AMAMAPARE ANCH",9478925,Cargo,"2022-09-08 13:17:24",-4.948395,136.6587
Indonesia,UNIORDER,MUARA,"2022-09-08 07:00:00","MUARA BERAU","MUARA BERAU ANCH",9145970,Cargo,"2022-09-08 13:51:46",-0.2327317,117.574
Indonesia,"ERAWAN 12",SANDAKAN,"2022-09-07 08:00:00","MY SANDAKAN",,9301366,Tanker,"2022-09-07 18:53:23",5.649998,119.1167
Indonesia,"SINAR MASELA",CIWANDAN,"2022-09-07 15:00:00",ANYER,CIWANDAN,9279630,Tanker,"2022-09-08 13:52:30",-6.026983,105.9358
Indonesia,"TANJUNG BURANG",,"1900-01-01 00:00:00","PUNGGUR-UBAN P.P","TANJUNG UBAN",9027398,Passenger,"2022-09-08 12:54:05",1.060253,104.2189
Indonesia,"ARIN 8",BALIKPAPAN,-,"ID BPN",,9209001,Tanker,"2022-09-08 13:53:15",4.993333,119.6233
Indonesia,"PERTAMINA GAS 1",LONGKOU,-,CNLKU,,9643348,Tanker,"2022-09-08 13:53:47",8.453333,107.8867
Indonesia,"NAVIGATOR ARIES","SURALAYA ANCH","2022-09-08 22:54:00","TANJUNG JABUNG",,9403762,Tanker,"2022-09-08 13:14:45",-3.87895,109.4316
Indonesia,"ISA EXPRESS",BELAWAN,-,"ID BLW",,9082752,Cargo,"2022-09-08 13:28:02",-4.19227,115.9298
Indonesia,"ERICA 9",CIWANDAN,"2022-09-07 17:00:00",CIWANDAN/IDN,"CIWANDAN ANCH",9020845,Tanker,"2022-09-08 13:51:50",-6.01277,105.9382
Indonesia,"BARAKUDA NATUNA",,"1900-01-01 00:00:00",,,9138604,Tanker,"2022-09-08 13:27:21",4.131088,105.1283
